City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tsiombe,-25.3,45.4833,21.93,71,0,1.05,MG,1724866960
83,coahuayana de hidalgo,18.7,-103.6583,30.98,70,52,1.51,MX,1724866961
84,thompson,55.7435,-97.8558,19.09,52,40,5.14,CA,1724866962
85,pitea,65.3172,21.4794,15.77,86,46,3.1,SE,1724866964
86,lihue,21.9789,-159.3672,25.77,73,40,3.09,US,1724866756
87,stiens,53.2623,5.7577,27.19,59,29,3.09,NL,1724866966
88,cabedelo,-6.9811,-34.8339,28.37,70,61,8.68,BR,1724866806
89,san ignacio,17.1561,-89.0714,31.08,74,40,2.06,BZ,1724866968
90,arkhangel'sk,64.5401,40.5433,14.06,72,20,2.0,RU,1724866969
91,panama city beach,30.1766,-85.8055,34.45,66,75,1.79,US,1724866970
92,pan de azucar,-34.8,-55.2333,16.95,74,0,6.17,UY,1724866971
93,lobujya,27.95,86.8167,2.74,90,90,1.84,NP,1724866972
94,ibipeba,-11.6408,-42.0111,28.61,35,4,8.56,BR,1724866973
95,baukau,51.5526,7.2042,29.25,54,2,2.42,DE,1724866974
96,weno,7.4515,151.8468,26.97,94,100,2.57,FM,1724866975
97,mbandaka,0.0487,18.2603,26.47,62,88,3.72,CD,1724866976
98,st. john's,47.5649,-52.7093,23.49,65,75,11.32,CA,1724866927
99,invercargill,-46.4,168.35,9.45,95,55,1.34,NZ,1724866979
100,hawaiian paradise park,19.5933,-154.9731,24.94,98,40,2.57,US,1724866980
101,suntar,62.1444,117.6319,8.3,69,100,1.86,RU,1724866981
102,port douglas,-16.4833,145.4667,20.94,89,21,3.05,AU,1724866982
103,whitehorse,60.7161,-135.0538,12.43,68,75,8.23,CA,1724866983
104,cubelles,41.2077,1.6727,28.41,90,1,0.89,ES,1724866984
105,tolanaro,-25.0319,46.9987,23.04,78,0,10.8,MG,1724866985
106,tofol,5.3248,163.0078,28.53,76,100,5.1,FM,1724866986
107,kuala belait,4.5833,114.1833,25.46,88,100,2.95,BN,1724866987
108,diplo,24.4667,69.584,26.76,87,100,8.69,PK,1724866988
109,punta arenas,-53.15,-70.9167,5.06,70,40,15.95,CL,1724866767
110,lockwood,45.8191,-108.4149,17.45,23,75,7.72,US,1724866990
111,constantia,44.1833,28.65,21.5,66,45,0.8,RO,1724866991
112,port alfred,-33.5906,26.891,11.21,57,13,3.58,ZA,1724866993
113,chibougamau,49.9168,-74.3659,10.79,66,100,5.66,CA,1724866994
114,kill devil hills,36.0307,-75.676,32.01,51,0,2.57,US,1724866995
115,kijang,35.2442,129.2139,24.85,88,86,7.15,KR,1724866996
116,tracy,37.7397,-121.4252,29.96,38,0,2.76,US,1724866974
117,afaahiti,-17.75,-149.2833,25.01,74,2,3.12,PF,1724866998
118,altai,46.3722,96.2583,12.56,55,1,0.76,MN,1724866999
119,badger,64.8,-147.5333,10.93,88,40,0.0,US,1724867000
120,nar'yan-mar,67.6713,53.087,10.37,85,92,8.59,RU,1724867001
121,pisco,-13.7,-76.2167,18.03,77,46,4.63,PE,1724867002
122,salinopolis,-0.6136,-47.3561,28.42,72,39,6.09,BR,1724867003
123,ronne,55.1009,14.7066,20.95,64,2,6.69,DK,1724867004
124,bredasdorp,-34.5322,20.0403,4.8,64,77,3.36,ZA,1724867005
125,novokayakent,42.3937,47.9861,24.79,68,88,3.52,RU,1724867006
126,kharkhorin,47.1975,102.8238,12.91,77,66,2.19,MN,1724867008
127,mikashevichy,52.2173,27.476,23.54,49,3,3.74,BY,1724867009
128,ekibastuz,51.6667,75.3667,15.98,65,36,2.13,KZ,1724867010
129,uturoa,-16.7333,-151.4333,26.59,78,96,5.04,PF,1724867012
130,scone,56.4194,-3.4051,18.64,75,56,2.68,GB,1724867013
131,kodinsk,58.6881,99.1844,8.37,93,84,0.81,RU,1724867014
132,kodiak,57.79,-152.4072,9.73,87,100,1.54,US,1724867015
133,zaraza,9.3503,-65.3245,30.53,60,56,2.51,VE,1724867016
134,nova sintra,14.8667,-24.7167,27.28,79,73,3.25,CV,1724867017
135,revda,56.801,59.9303,17.81,89,100,5.47,RU,1724867018
136,chul'man,56.8479,124.9104,9.81,93,90,2.73,RU,1724867020
137,timmins,48.4669,-81.3331,13.9,58,75,4.63,CA,1724866982
138,port mathurin,-19.6833,63.4167,22.28,69,57,12.19,MU,1724867022
139,praia da vitoria,38.7333,-27.0667,26.14,65,20,1.94,PT,1724867023
140,bridgewater,44.3835,-64.5155,18.12,94,100,6.69,CA,1724867024
141,port moresby,-9.4431,147.1797,24.68,83,75,2.57,PG,1724866923
142,quakertown,40.4418,-75.3416,33.4,54,0,3.09,US,1724867026
143,anadyr,64.75,177.4833,8.28,87,20,2.0,RU,1724867027
144,chichiriviche,10.9333,-68.2772,30.1,64,52,5.69,VE,1724867028
145,mili,6.0815,171.735,28.8,72,82,4.26,MH,1724867029
146,macas,-2.3167,-78.1167,26.86,50,40,2.57,EC,1724866805
